time, temp, ax, ay, az, gx, gy, gz, mx, my, mz,
3.646135e-03, 2.229392e+01, 1.101333e+00, 7.493851e-01, 1.075236e+01,-3.813611e+00, 2.989709e-01, 1.023216e-01,-2.145000e-05, -1.050000e-05, -2.325000e-05,
1.071906e-01, 2.234184e+01, 6.607997e-01, -1.702277e+00, 9.916783e+00,2.800521e-01, -1.526297e+00, 6.261868e-01,-2.025000e-05, -4.050000e-06, -1.860000e-05,
2.106278e-01, 2.215015e+01, 1.747767e+00, 1.896208e+00, 9.995792e+00,9.430107e-01, -2.931087e-01, -3.250842e-01,-1.470000e-05, -1.980000e-05, -2.460000e-05,
3.140790e-01, 2.210223e+01, 1.278504e+00, 2.236184e+00, 9.411607e+00,4.889587e-01, 3.517305e-02, -1.071179e-01,-1.740000e-05, -2.010000e-05, -2.595000e-05,
4.175987e-01, 2.243769e+01, 1.237802e+00, 1.740585e+00, 9.342175e+00,5.489127e-02, 4.567167e-01, -2.182328e-01,-1.590000e-05, -2.325000e-05, -2.655000e-05,
5.211322e-01, 2.243769e+01, 1.297657e+00, 1.510741e+00, 9.497798e+00,-1.182561e+00, 4.854947e-01, 4.324686e-01,-1.560000e-05, -1.830000e-05, -2.490000e-05,
6.245575e-01, 2.243769e+01, 1.436521e+00, -5.530606e-01, 1.021366e+01,-3.477868e+00, -3.090965e-01, 7.764717e-01,-1.635000e-05, -8.850000e-06, -2.190000e-05,
7.279632e-01, 2.258145e+01, 1.395820e+00, -3.538630e+00, 8.760384e+00,-3.982548e+00, 1.497519e-01, 1.188956e+00,-2.040000e-05, 4.650000e-06, -1.200000e-05,
8.314676e-01, 2.248561e+01, 2.418144e-01, -1.003170e+01, 3.667917e+00,-7.845455e+00, 2.663825e+00, 1.846585e-01,-2.715000e-05, 1.965000e-05, 2.745000e-05,
9.348946e-01, 2.224599e+01, -2.418144e-01, -5.403713e+00, -9.313444e+00,3.592181e+00, -1.476469e+00, -1.028012e+00,-2.595000e-05, -2.340000e-05, 8.205000e-05,
1.038357e+00, 2.243769e+01, -1.711854e+00, -4.177882e+00, -7.809886e+00,-3.560738e+00, -1.522034e+00, 1.263832e+00,-3.540000e-05, -3.120000e-05, 8.145000e-05,
1.142019e+00, 2.229392e+01, 5.578490e-01, 1.469322e+01, -3.663129e+00,-8.731443e+00, 5.185360e-01, 4.658830e+00,-1.800000e-05, -8.055000e-05, 2.385000e-05,
1.245608e+00, 2.243769e+01, 9.121908e-01, 8.159439e+00, 3.632004e+00,-8.459918e+00, -3.542086e+00, 2.308098e+00,-1.290000e-05, -7.200000e-05, -3.750000e-06,
1.349208e+00, 2.267730e+01, 3.888183e+00, 2.808399e+00, 1.213621e+01,-5.463813e+00, -1.305666e-01, 2.159146e+00,1.950000e-06, -3.900000e-05, -2.250000e-05,
1.452621e+00, 2.262938e+01, 4.247314e+00, 5.602432e-01, 1.062307e+01,1.658196e+00, -8.731976e-01, -1.434101e+00,0.000000e+00, 1.500000e-06, -1.335000e-05,
1.556038e+00, 2.234184e+01, 3.909731e+00, -3.447650e-01, 9.181763e+00,5.249311e-01, 1.457283e+00, 2.590015e-01,0.000000e+00, -3.000000e-06, -1.410000e-05,
1.660400e+00, 2.262938e+01, 3.552995e+00, 9.169792e-01, 1.012029e+01,6.268264e+00, 1.510576e+00, -8.124441e-01,-6.000000e-07, -1.335000e-05, -1.965000e-05,
1.764375e+00, 2.243769e+01, 2.401384e+00, 5.882553e+00, 9.536105e+00,6.244815e+00, 4.916233e-01, -1.686175e+00,-6.000000e-06, -3.795000e-05, -2.475000e-05,
1.867805e+00, 2.262938e+01, 2.322376e-01, 1.135091e+01, 2.540248e+00,2.378444e+00, 1.876962e+00, 2.629985e-01,-1.815000e-05, -7.365000e-05, -3.000000e-06,
1.971204e+00, 2.277315e+01, 3.351882e-01, 8.616732e+00, -2.523489e+00,-6.674885e-01, 3.783767e-02, -6.128637e-02,-2.145000e-05, -8.085000e-05, 1.485000e-05,
2.074858e+00, 2.267730e+01, 5.770026e-01, 1.036450e+01, -2.406173e+00,8.723982e-01, 3.170904e-02, -1.305666e-02,-2.100000e-05, -8.235000e-05, 2.055000e-05,
2.178242e+00, 2.243769e+01, 5.698200e-01, 8.437167e+00, -4.740519e+00,4.831231e+00, 1.143124e-01, -1.199081e-01,-2.025000e-05, -8.340000e-05, 3.015000e-05,
